Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.3290          -0.8595      -0.9429       0.0834   322.7
0.3300          -0.8589      -0.9264       0.0676   261.5
0.3310          -0.8566      -0.9133       0.0567   219.4
0.3320          -0.8568      -0.9050       0.0482   186.4
0.3330          -0.8529      -0.9022       0.0493   190.7
0.3340          -0.8530      -0.9056       0.0526   203.4
0.3350          -0.8527      -0.9150       0.0622   240.7
0.3360          -0.8452      -0.9300       0.0848   328.2
0.3370          -0.8440      -0.9482       0.1042   403.2
0.3380          -0.8443      -0.9668       0.1225   473.9
0.3390          -0.8448      -0.9831       0.1383   535.1
0.3400          -0.8470      -0.9932       0.1462   565.5
0.3410          -0.8436      -0.9927       0.1491   576.6
0.3420          -0.8563      -0.9796       0.1232   476.7
0.3430          -0.8558      -0.9553       0.0995   385.0
0.3440          -0.8524      -0.9285       0.0761   294.4
0.3450          -0.8500      -0.9126       0.0626   242.3
0.3460          -0.8482      -0.9166       0.0684   264.5
0.3470          -0.8470      -0.9368       0.0898   347.5
0.3480          -0.8485      -0.9635       0.1151   445.1
0.3490          -0.8508      -0.9851       0.1344   519.7
0.3500          -0.8478      -0.9943       0.1465   566.6
0.3510          -0.8488      -0.9910       0.1423   550.3
0.3520          -0.8504      -0.9790       0.1287   497.7
0.3530          -0.8521      -0.9628       0.1106   428.0
0.3540          -0.8630      -0.9459       0.0829   320.8
0.3550          -0.8583      -0.9314       0.0731   282.7
0.3560          -0.8580      -0.9194       0.0614   237.6
0.3570          -0.8576      -0.9110       0.0535   206.8
0.3580          -0.8589      -0.9075       0.0486   188.0
0.3590          -0.8587      -0.9089       0.0502   194.2
0.3600          -0.8547      -0.9154       0.0607   234.8
0.3610          -0.8543      -0.9267       0.0723   279.8
0.3620          -0.8561      -0.9419       0.0858   331.9
0.3630          -0.8577      -0.9594       0.1017   393.4
0.3640          -0.8569      -0.9766       0.1197   463.0
0.3650          -0.8558      -0.9895       0.1337   517.0
0.3660          -0.8651      -0.9945       0.1294   500.4
0.3670          -0.8709      -0.9893       0.1184   457.8
0.3680          -0.8702      -0.9735       0.1033   399.5
0.3690          -0.8682      -0.9509       0.0826   319.6
0.3700          -0.8632      -0.9310       0.0678   262.3
0.3710          -0.8604      -0.9235       0.0631   244.1
0.3720          -0.8699      -0.9322       0.0623   241.1
0.3730          -0.8731      -0.9528       0.0796   308.1
0.3740          -0.8746      -0.9750       0.1004   388.2
0.3750          -0.8788      -0.9898       0.1110   429.4
0.3760          -0.8809      -0.9945       0.1136   439.3
0.3770          -0.8867      -0.9902       0.1036   400.6
0.3780          -0.8813      -0.9800       0.0988   382.1
0.3790          -0.8829      -0.9664       0.0835   322.9
0.3800          -0.8784      -0.9521       0.0737   285.1
0.3810          -0.8703      -0.9389       0.0686   265.4
0.3820          -0.8713      -0.9292       0.0579   224.1
0.3830          -0.8706      -0.9239       0.0533   206.2
0.3840          -0.8683      -0.9242       0.0559   216.2
0.3850          -0.8686      -0.9296       0.0610   235.9
0.3860          -0.8699      -0.9387       0.0688   266.0
0.3870          -0.8705      -0.9509       0.0804   311.0
0.3880          -0.8743      -0.9644       0.0902   348.8
0.3890          -0.8708      -0.9782       0.1074   415.4
0.3900          -0.8646      -0.9896       0.1250   483.6
0.3910          -0.8630      -0.9945       0.1315   508.8
0.3920          -0.8594      -0.9900       0.1305   504.9
0.3930          -0.8626      -0.9759       0.1133   438.2
0.3940          -0.8607      -0.9558       0.0951   367.8
0.3950          -0.8596      -0.9368       0.0772   298.5
0.3960          -0.8520      -0.9280       0.0759   293.7
0.3970          -0.8537      -0.9334       0.0797   308.2
0.3980          -0.8513      -0.9509       0.0996   385.2
0.3990          -0.8534      -0.9713       0.1179   456.1
0.4000          -0.8574      -0.9873       0.1299   502.5
0.4010          -0.8597      -0.9943       0.1346   520.6
0.4020          -0.8562      -0.9917       0.1356   524.5
0.4030          -0.8569      -0.9816       0.1247   482.4
0.4040          -0.8436      -0.9672       0.1236   478.0
0.4050          -0.8411      -0.9510       0.1099   425.2
0.4060          -0.8431      -0.9366       0.0935   361.7
0.4070          -0.8381      -0.9257       0.0876   338.9
0.4080          -0.8374      -0.9198       0.0824   318.7
0.4090          -0.8454      -0.9186       0.0732   283.3
0.4100          -0.8469      -0.9218       0.0749   289.6
0.4110          -0.8554      -0.9294       0.0740   286.2
0.4120          -0.8511      -0.9410       0.0899   347.8
0.4130          -0.8506      -0.9552       0.1046   404.6
0.4140          -0.8481      -0.9700       0.1220   471.7
0.4150          -0.8435      -0.9832       0.1397   540.4
0.4160          -0.8398      -0.9923       0.1526   590.2
0.4170          -0.8452      -0.9941       0.1489   575.9
0.4180          -0.8541      -0.9870       0.1330   514.3
0.4190          -0.8469      -0.9729       0.1260   487.4
0.4200          -0.8505      -0.9560       0.1055   408.1
0.4210          -0.8504      -0.9434       0.0930   359.9
0.4220          -0.8543      -0.9408       0.0865   334.7
0.4230          -0.8574      -0.9498       0.0924   357.5
0.4240          -0.8548      -0.9660       0.1112   430.2
0.4250          -0.8557      -0.9827       0.1270   491.1
0.4260          -0.8544      -0.9926       0.1382   534.6
0.4270          -0.8562      -0.9941       0.1379   533.5
0.4280          -0.8595      -0.9882       0.1287   497.8
0.4290          -0.8606      -0.9779       0.1173   453.8
0.4300          -0.8562      -0.9650       0.1088   421.0
0.4310          -0.8614      -0.9516       0.0902   348.9
0.4320          -0.8666      -0.9406       0.0740   286.1
0.4330          -0.8640      -0.9331       0.0691   267.4
0.4340          -0.8655      -0.9297       0.0642   248.2
0.4350          -0.8655      -0.9310       0.0655   253.3
0.4360          -0.8584      -0.9357       0.0773   299.1
0.4370          -0.8573      -0.9441       0.0868   335.6
0.4380          -0.8582      -0.9549       0.0967   374.0
0.4390          -0.8535      -0.9675       0.1140   441.0
0.4400          -0.8420      -0.9803       0.1383   535.1
0.4410          -0.8396      -0.9904       0.1509   583.5
0.4420          -0.8305      -0.9945       0.1641   634.6
0.4430          -0.8251      -0.9901       0.1650   638.4
0.4440          -0.8250      -0.9767       0.1518   587.1
0.4450          -0.8321      -0.9598       0.1276   493.7
0.4460          -0.8371      -0.9462       0.1091   422.0
0.4470          -0.8365      -0.9432       0.1066   412.5
0.4480          -0.8360      -0.9532       0.1172   453.4
0.4490          -0.8404      -0.9698       0.1294   500.6
0.4500          -0.8487      -0.9850       0.1363   527.1
0.4510          -0.8501      -0.9934       0.1433   554.4
0.4520          -0.8492      -0.9934       0.1442   557.8
0.4530          -0.8614      -0.9860       0.1246   481.9
0.4540          -0.8621      -0.9749       0.1128   436.5
0.4550          -0.8604      -0.9624       0.1020   394.5
0.4560          -0.8613      -0.9506       0.0893   345.3
0.4570          -0.8614      -0.9413       0.0799   309.1
0.4580          -0.8625      -0.9341       0.0716   277.1
0.4590          -0.8637      -0.9306       0.0669   258.7
0.4600          -0.8660      -0.9323       0.0663   256.4
0.4610          -0.8698      -0.9388       0.0689   266.7
0.4620          -0.8680      -0.9482       0.0802   310.3
0.4630          -0.8724      -0.9599       0.0875   338.3
0.4640          -0.8652      -0.9726       0.1074   415.5
0.4650          -0.8718      -0.9842       0.1124   434.9
0.4660          -0.8740      -0.9922       0.1182   457.3
0.4670          -0.8739      -0.9944       0.1205   466.2
0.4680          -0.8705      -0.9891       0.1186   458.7
0.4690          -0.8718      -0.9771       0.1053   407.5
0.4700          -0.8739      -0.9627       0.0889   343.8
0.4710          -0.8741      -0.9521       0.0780   301.9
0.4720          -0.8758      -0.9505       0.0747   289.1
0.4730          -0.8722      -0.9592       0.0870   336.5
0.4740          -0.8687      -0.9723       0.1036   400.9
0.4750          -0.8736      -0.9856       0.1119   432.9
0.4760          -0.8669      -0.9933       0.1263   488.7
0.4770          -0.8642      -0.9939       0.1297   501.6
0.4780          -0.8624      -0.9877       0.1253   484.6
0.4790          -0.8590      -0.9767       0.1177   455.4
0.4800          -0.8622      -0.9635       0.1013   392.0
0.4810          -0.8665      -0.9505       0.0840   324.9
0.4820          -0.8676      -0.9397       0.0721   278.8
0.4830          -0.8759      -0.9326       0.0567   219.4
0.4840          -0.8755      -0.9296       0.0540   209.0
0.4850          -0.8777      -0.9312       0.0535   206.9
0.4860          -0.8742      -0.9370       0.0628   242.8
0.4870          -0.8761      -0.9464       0.0704   272.2
0.4880          -0.8759      -0.9581       0.0822   318.0
0.4890          -0.8839      -0.9707       0.0868   335.8
0.4900          -0.8856      -0.9831       0.0974   376.9
0.4910          -0.8895      -0.9920       0.1025   396.5
0.4920          -0.8888      -0.9944       0.1055   408.2
0.4930          -0.8923      -0.9884       0.0961   371.6
0.4940          -0.8916      -0.9740       0.0824   318.7
0.4950          -0.8950      -0.9553       0.0603   233.1
0.4960          -0.8944      -0.9408       0.0464   179.5
0.4970          -0.8914      -0.9372       0.0458   177.1
0.4980          -0.8973      -0.9459       0.0486   188.0
0.4990          -0.8982      -0.9625       0.0642   248.4
0.5000          -0.9031      -0.9795       0.0763   295.3
0.5010          -0.9053      -0.9910       0.0858   331.7
0.5020          -0.9069      -0.9945       0.0875   338.6
0.5030          -0.9069      -0.9905       0.0835   323.2
0.5040          -0.9069      -0.9815       0.0746   288.6
0.5050          -0.9037      -0.9703       0.0666   257.6
0.5060          -0.9047      -0.9586       0.0539   208.6
0.5070          -0.9047      -0.9486       0.0439   169.9
0.5080          -0.9036      -0.9410       0.0374   144.5
0.5090          -0.9024      -0.9363       0.0339   131.1
0.5100          -0.9048      -0.9357       0.0309   119.7
0.5110          -0.9057      -0.9391       0.0334   129.1
0.5120          -0.9089      -0.9458       0.0370   143.0
0.5130          -0.9072      -0.9559       0.0487   188.4
0.5140          -0.9078      -0.9678       0.0601   232.3
0.5150          -0.9125      -0.9796       0.0671   259.6
0.5160          -0.9114      -0.9892       0.0778   300.8
0.5170          -0.9168      -0.9942       0.0774   299.4
0.5180          -0.9138      -0.9929       0.0792   306.2
0.5190          -0.9109      -0.9848       0.0740   286.1
0.5200          -0.9174      -0.9717       0.0543   210.2
0.5210          -0.9156      -0.9585       0.0429   165.9
0.5220          -0.9144      -0.9503       0.0359   138.9
0.5230          -0.9146      -0.9505       0.0359   139.0
0.5240          -0.9134      -0.9606       0.0473   182.9
0.5250          -0.9085      -0.9753       0.0669   258.6
0.5260          -0.9042      -0.9882       0.0840   324.8
0.5270          -0.9073      -0.9942       0.0869   336.3
0.5280          -0.9125      -0.9930       0.0805   311.3
0.5290          -0.9153      -0.9865       0.0712   275.3
0.5300          -0.9189      -0.9774       0.0584   226.0
0.5310          -0.9157      -0.9675       0.0517   200.1
0.5320          -0.9115      -0.9580       0.0465   180.0
0.5330          -0.9148      -0.9506       0.0358   138.5
0.5340          -0.9175      -0.9460       0.0285   110.2
0.5350          -0.9165      -0.9453       0.0288   111.5
0.5360          -0.9190      -0.9488       0.0298   115.2
0.5370          -0.9186      -0.9549       0.0363   140.6
0.5380          -0.9191      -0.9634       0.0444   171.6
0.5390          -0.9192      -0.9732       0.0540   208.8
0.5400          -0.9240      -0.9827       0.0587   227.0
0.5410          -0.9237      -0.9903       0.0666   257.5
0.5420          -0.9198      -0.9943       0.0744   287.9
0.5430          -0.9194      -0.9930       0.0736   284.8
0.5440          -0.9241      -0.9856       0.0615   237.8
0.5450          -0.9238      -0.9741       0.0503   194.4
0.5460          -0.9262      -0.9629       0.0366   141.7
0.5470          -0.9268      -0.9573       0.0305   117.9
0.5480          -0.9297      -0.9610       0.0313   120.9
0.5490          -0.9286      -0.9714       0.0428   165.5
0.5500          -0.9318      -0.9835       0.0517   200.1
0.5510          -0.9318      -0.9918       0.0600   232.1
0.5520          -0.9313      -0.9945       0.0632   244.5
0.5530          -0.9352      -0.9919       0.0567   219.4
0.5540          -0.9339      -0.9850       0.0512   198.0
0.5550          -0.9285      -0.9756       0.0471   182.3
0.5560          -0.9241      -0.9649       0.0408   157.8
0.5570          -0.9289      -0.9555       0.0266   102.8
0.5580          -0.9273      -0.9493       0.0220    85.0
0.5590          -0.9265      -0.9463       0.0198    76.6
0.5600          -0.9264      -0.9470       0.0205    79.4
0.5610          -0.9260      -0.9513       0.0253    97.8
0.5620          -0.9291      -0.9577       0.0286   110.7
0.5630          -0.9285      -0.9662       0.0377   145.9
0.5640          -0.9314      -0.9758       0.0445   172.0
0.5650          -0.9350      -0.9847       0.0497   192.1
0.5660          -0.9341      -0.9915       0.0573   221.8
0.5670          -0.9374      -0.9945       0.0571   220.8
0.5680          -0.9377      -0.9923       0.0547   211.4
0.5690          -0.9337      -0.9848       0.0511   197.6
0.5700          -0.9330      -0.9731       0.0401   155.3
0.5710          -0.9316      -0.9606       0.0290   112.2
0.5720          -0.9310      -0.9529       0.0219    84.6
0.5730          -0.9310      -0.9537       0.0227    87.7
0.5740          -0.9332      -0.9629       0.0297   115.0
0.5750          -0.9300      -0.9764       0.0464   179.5
0.5760          -0.9324      -0.9882       0.0558   215.7
0.5770          -0.9359      -0.9939       0.0580   224.3
0.5780          -0.9338      -0.9937       0.0599   231.7
0.5790          -0.9335      -0.9885       0.0550   212.9
0.5800          -0.9323      -0.9803       0.0480   185.6
0.5810          -0.9361      -0.9719       0.0358   138.5
0.5820          -0.9334      -0.9645       0.0311   120.3
0.5830          -0.9340      -0.9595       0.0255    98.5
0.5840          -0.9339      -0.9571       0.0232    89.8
0.5850          -0.9355      -0.9577       0.0221    85.7
0.5860          -0.9399      -0.9600       0.0201    77.8
0.5870          -0.9423      -0.9642       0.0218    84.4
0.5880          -0.9434      -0.9703       0.0269   103.9
0.5890          -0.9390      -0.9780       0.0390   150.9
0.5900          -0.9425      -0.9857       0.0432   167.3
0.5910          -0.9460      -0.9915       0.0455   176.2
0.5920          -0.9461      -0.9944       0.0483   186.7
0.5930          -0.9465      -0.9936       0.0470   182.0
0.5940          -0.9399      -0.9886       0.0487   188.4
0.5950          -0.9395      -0.9799       0.0404   156.3
0.5960          -0.9401      -0.9711       0.0310   120.0
0.5970          -0.9410      -0.9655       0.0245    94.8
0.5980          -0.9413      -0.9666       0.0253    97.8
0.5990          -0.9402      -0.9737       0.0336   129.8
0.6000          -0.9425      -0.9824       0.0399   154.2
0.6010          -0.9466      -0.9901       0.0435   168.2
0.6020          -0.9448      -0.9941       0.0493   190.6
0.6030          -0.9441      -0.9939       0.0499   192.8
0.6040          -0.9440      -0.9901       0.0461   178.4
0.6050          -0.9481      -0.9843       0.0362   140.2
0.6060          -0.9472      -0.9780       0.0307   118.9
0.6070          -0.9476      -0.9717       0.0240    93.0
0.6080          -0.9463      -0.9667       0.0204    78.9
0.6090          -0.9450      -0.9642       0.0192    74.2
0.6100          -0.9483      -0.9638       0.0155    60.1
0.6110          -0.9455      -0.9663       0.0208    80.3
0.6120          -0.9450      -0.9711       0.0261   101.0
0.6130          -0.9490      -0.9770       0.0280   108.3
0.6140          -0.9530      -0.9825       0.0295   114.1
0.6150          -0.9544      -0.9876       0.0332   128.5
0.6160          -0.9611      -0.9917       0.0306   118.3
0.6170          -0.9596      -0.9941       0.0345   133.4
0.6180          -0.9586      -0.9942       0.0356   137.8
0.6190          -0.9610      -0.9916       0.0307   118.7
0.6200          -0.9616      -0.9870       0.0254    98.1
0.6210          -0.9608      -0.9814       0.0206    79.5
0.6220          -0.9612      -0.9780       0.0167    64.6
0.6230          -0.9582      -0.9770       0.0188    72.7
0.6240          -0.9576      -0.9793       0.0217    84.1
0.6250          -0.9591      -0.9844       0.0254    98.2
0.6260          -0.9558      -0.9899       0.0341   131.7
0.6270          -0.9575      -0.9935       0.0360   139.3
0.6280          -0.9588      -0.9945       0.0356   137.9
0.6290          -0.9558      -0.9928       0.0370   143.0
0.6300          -0.9551      -0.9890       0.0338   130.9
0.6310          -0.9572      -0.9842       0.0271   104.7
0.6320          -0.9602      -0.9801       0.0199    76.8
0.6330          -0.9595      -0.9775       0.0180    69.7
0.6340          -0.9569      -0.9768       0.0199    77.1
0.6350          -0.9540      -0.9785       0.0245    94.9
0.6360          -0.9554      -0.9813       0.0259   100.2
0.6370          -0.9563      -0.9853       0.0290   112.1
0.6380          -0.9591      -0.9894       0.0302   117.0
0.6390          -0.9562      -0.9928       0.0366   141.6
0.6400          -0.9559      -0.9944       0.0385   149.0
0.6410          -0.9553      -0.9937       0.0384   148.5
0.6420          -0.9556      -0.9901       0.0345   133.3
0.6430          -0.9583      -0.9846       0.0263   101.8
0.6440          -0.9539      -0.9785       0.0246    95.2
0.6450          -0.9548      -0.9736       0.0188    72.7
0.6460          -0.9534      -0.9722       0.0188    72.7
0.6470          -0.9556      -0.9751       0.0195    75.4
0.6480          -0.9561      -0.9812       0.0251    97.1
0.6490          -0.9589      -0.9877       0.0288   111.3
0.6500          -0.9579      -0.9926       0.0347   134.3
0.6510          -0.9578      -0.9945       0.0367   142.1
0.6520          -0.9574      -0.9927       0.0352   136.3
0.6530          -0.9545      -0.9876       0.0331   128.2
0.6540          -0.9540      -0.9805       0.0266   102.7
0.6550          -0.9504      -0.9728       0.0224    86.6
0.6560          -0.9495      -0.9655       0.0160    61.9
0.6570          -0.9516      -0.9602       0.0086    33.4
0.6580          -0.9526      -0.9579       0.0053    20.5
0.6590          -0.9528      -0.9586       0.0058    22.4
0.6600          -0.9531      -0.9624       0.0093    35.8
0.6610          -0.9516      -0.9682       0.0166    64.4
0.6620          -0.9499      -0.9758       0.0259   100.3
0.6630          -0.9491      -0.9840       0.0349   135.0
0.6640          -0.9488      -0.9907       0.0420   162.4
0.6650          -0.9482      -0.9943       0.0461   178.5
0.6660          -0.9450      -0.9929       0.0480   185.6
0.6670          -0.9439      -0.9855       0.0416   160.9
0.6680          -0.9452      -0.9740       0.0288   111.3
0.6690          -0.9443      -0.9625       0.0182    70.5
0.6700          -0.9460      -0.9562       0.0101    39.2
0.6710          -0.9452      -0.9578       0.0126    48.7
0.6720          -0.9436      -0.9675       0.0239    92.4
0.6730          -0.9451      -0.9800       0.0350   135.2
0.6740          -0.9466      -0.9899       0.0433   167.6
0.6750          -0.9490      -0.9943       0.0453   175.2
0.6760          -0.9484      -0.9932       0.0448   173.2
0.6770          -0.9486      -0.9876       0.0390   150.8
0.6780          -0.9490      -0.9793       0.0303   117.4
0.6790          -0.9508      -0.9709       0.0201    77.6
0.6800          -0.9493      -0.9637       0.0144    55.9
0.6810          -0.9482      -0.9582       0.0100    38.5
0.6820          -0.9505      -0.9556       0.0051    19.8
0.6830          -0.9512      -0.9572       0.0060    23.1
0.6840          -0.9506      -0.9619       0.0113    43.6
0.6850          -0.9496      -0.9696       0.0200    77.3
0.6860          -0.9516      -0.9781       0.0265   102.7
0.6870          -0.9499      -0.9863       0.0364   140.9
0.6880          -0.9518      -0.9925       0.0407   157.4
0.6890          -0.9533      -0.9945       0.0412   159.2
0.6900          -0.9538      -0.9913       0.0374   144.8
0.6910          -0.9565      -0.9828       0.0263   101.7
0.6920          -0.9595      -0.9725       0.0130    50.3
0.6930          -0.9612      -0.9649       0.0037    14.4
0.6940          -0.9610      -0.9629       0.0019     7.2
0.6950          -0.9619      -0.9668       0.0049    19.1
0.6960          -0.9615      -0.9755       0.0140    54.2
0.6970          -0.9600      -0.9851       0.0251    97.2
0.6980          -0.9614      -0.9920       0.0306   118.2
0.6990          -0.9652      -0.9945       0.0293   113.2
0.7000          -0.9613      -0.9928       0.0315   121.8
0.7010          -0.9595      -0.9875       0.0280   108.3
0.7020          -0.9554      -0.9799       0.0244    94.6
0.7030          -0.9559      -0.9714       0.0156    60.2
0.7040          -0.9584      -0.9647       0.0063    24.3
0.7050          -0.9599      -0.9611       0.0011     4.3
0.7060          -0.9593      -0.9601       0.0008     3.0
0.7070          -0.9591      -0.9625       0.0034    13.1
0.7080          -0.9596      -0.9678       0.0082    31.6
0.7090          -0.9592      -0.9746       0.0154    59.6
0.7100          -0.9587      -0.9824       0.0237    91.8
0.7110          -0.9555      -0.9895       0.0340   131.5
0.7120          -0.9571      -0.9939       0.0368   142.5
0.7130          -0.9602      -0.9939       0.0337   130.4
0.7140          -0.9598      -0.9888       0.0290   112.1
0.7150          -0.9576      -0.9794       0.0219    84.6
0.7160          -0.9568      -0.9683       0.0115    44.4
0.7170          -0.9558      -0.9594       0.0037    14.1
0.7180          -0.9556      -0.9568       0.0012     4.8
0.7190          -0.9551      -0.9628       0.0077    29.8
0.7200          -0.9535      -0.9737       0.0202    78.2
0.7210          -0.9498      -0.9853       0.0355   137.3
0.7220          -0.9543      -0.9927       0.0384   148.7
0.7230          -0.9551      -0.9944       0.0393   152.2
0.7240          -0.9482      -0.9909       0.0427   165.2
0.7250          -0.9455      -0.9833       0.0378   146.2
0.7260          -0.9440      -0.9735       0.0295   114.0
0.7270          -0.9470      -0.9642       0.0171    66.3
0.7280          -0.9464      -0.9569       0.0104    40.3
0.7290          -0.9462      -0.9530       0.0068    26.2
0.7300          -0.9471      -0.9527       0.0056    21.6
0.7310          -0.9474      -0.9556       0.0082    31.8
0.7320          -0.9484      -0.9610       0.0126    48.6
0.7330          -0.9507      -0.9686       0.0180    69.5
0.7340          -0.9513      -0.9776       0.0262   101.5
0.7350          -0.9548      -0.9858       0.0310   119.8
0.7360          -0.9552      -0.9920       0.0367   142.1
0.7370          -0.9569      -0.9945       0.0376   145.6
0.7380          -0.9604      -0.9924       0.0320   123.9
0.7390          -0.9628      -0.9866       0.0237    91.8
0.7400          -0.9628      -0.9789       0.0161    62.3
0.7410          -0.9632      -0.9720       0.0088    34.1
0.7420          -0.9642      -0.9683       0.0041    16.0
0.7430          -0.9636      -0.9693       0.0056    21.8
0.7440          -0.9653      -0.9749       0.0096    37.2
0.7450          -0.9630      -0.9830       0.0200    77.5
0.7460          -0.9601      -0.9902       0.0301   116.4
0.7470          -0.9610      -0.9941       0.0330   127.8
0.7480          -0.9631      -0.9941       0.0310   119.9
0.7490          -0.9650      -0.9909       0.0260   100.4
0.7500          -0.9666      -0.9860       0.0193    74.8
0.7510          -0.9676      -0.9804       0.0129    49.8
0.7520          -0.9642      -0.9761       0.0119    46.1
0.7530          -0.9658      -0.9728       0.0071    27.3
0.7540          -0.9669      -0.9720       0.0051    19.8
0.7550          -0.9652      -0.9730       0.0078    30.2
0.7560          -0.9639      -0.9757       0.0118    45.5
0.7570          -0.9655      -0.9796       0.0142    54.9
0.7580          -0.9638      -0.9843       0.0205    79.5
0.7590          -0.9603      -0.9893       0.0291   112.4
0.7600          -0.9611      -0.9930       0.0320   123.6
0.7610          -0.9620      -0.9945       0.0326   125.9
0.7620          -0.9597      -0.9929       0.0331   128.2
0.7630          -0.9640      -0.9885       0.0245    94.7
0.7640          -0.9634      -0.9830       0.0196    75.9
0.7650          -0.9576      -0.9792       0.0216    83.6
0.7660          -0.9593      -0.9777       0.0184    71.3
0.7670          -0.9587      -0.9788       0.0202    78.1
0.7680          -0.9566      -0.9825       0.0259   100.2
0.7690          -0.9594      -0.9871       0.0278   107.4
0.7700          -0.9578      -0.9913       0.0335   129.6
0.7710          -0.9581      -0.9940       0.0359   138.8
0.7720          -0.9552      -0.9944       0.0391   151.3
0.7730          -0.9581      -0.9923       0.0342   132.3
0.7740          -0.9617      -0.9888       0.0271   104.7
0.7750          -0.9604      -0.9850       0.0246    95.2
0.7760          -0.9626      -0.9819       0.0193    74.5
0.7770          -0.9622      -0.9798       0.0176    68.2
0.7780          -0.9602      -0.9792       0.0190    73.7
0.7790          -0.9626      -0.9809       0.0183    70.6
0.7800          -0.9573      -0.9842       0.0269   104.1
0.7810          -0.9594      -0.9879       0.0285   110.3
0.7820          -0.9588      -0.9912       0.0324   125.2
0.7830          -0.9581      -0.9936       0.0356   137.6
0.7840          -0.9607      -0.9945       0.0338   130.8
0.7850          -0.9559      -0.9934       0.0375   144.9
0.7860          -0.9531      -0.9902       0.0372   143.7
0.7870          -0.9520      -0.9862       0.0342   132.4
0.7880          -0.9489      -0.9825       0.0337   130.3
0.7890          -0.9483      -0.9805       0.0321   124.3
0.7900          -0.9478      -0.9813       0.0335   129.4
0.7910          -0.9500      -0.9837       0.0337   130.3
0.7920          -0.9521      -0.9871       0.0350   135.5
0.7930          -0.9528      -0.9906       0.0378   146.2
0.7940          -0.9513      -0.9935       0.0422   163.3
0.7950          -0.9531      -0.9945       0.0414   160.0
0.7960          -0.9559      -0.9935       0.0376   145.5
0.7970          -0.9523      -0.9910       0.0387   149.5
0.7980          -0.9573      -0.9878       0.0305   118.0
0.7990          -0.9617      -0.9847       0.0230    89.1
0.8000          -0.9598      -0.9822       0.0224    86.8
0.8010          -0.9607      -0.9809       0.0202    78.1
0.8020          -0.9573      -0.9810       0.0237    91.6
0.8030          -0.9581      -0.9825       0.0244    94.2
0.8040          -0.9616      -0.9850       0.0235    90.8
0.8050          -0.9605      -0.9884       0.0279   107.8
0.8060          -0.9565      -0.9919       0.0353   136.6
0.8070          -0.9550      -0.9941       0.0391   151.3
0.8080          -0.9585      -0.9944       0.0358   138.6
0.8090          -0.9645      -0.9926       0.0281   108.6
0.8100          -0.9661      -0.9896       0.0234    90.6
0.8110          -0.9656      -0.9863       0.0208    80.4
0.8120          -0.9637      -0.9831       0.0194    75.1
0.8130          -0.9677      -0.9817       0.0140    54.0
0.8140          -0.9692      -0.9829       0.0137    52.9
0.8150          -0.9719      -0.9861       0.0142    55.0
0.8160          -0.9687      -0.9898       0.0211    81.5
0.8170          -0.9682      -0.9930       0.0248    95.9
0.8180          -0.9681      -0.9945       0.0264   102.2
0.8190          -0.9695      -0.9938       0.0243    93.9
0.8200          -0.9698      -0.9913       0.0215    83.0
0.8210          -0.9683      -0.9877       0.0194    75.1
0.8220          -0.9674      -0.9844       0.0170    65.6
0.8230          -0.9634      -0.9811       0.0177    68.5
0.8240          -0.9628      -0.9786       0.0157    60.8
0.8250          -0.9607      -0.9779       0.0172    66.4
0.8260          -0.9618      -0.9786       0.0168    65.1
0.8270          -0.9597      -0.9807       0.0210    81.3
0.8280          -0.9589      -0.9842       0.0253    97.9
0.8290          -0.9597      -0.9880       0.0282   109.1
0.8300          -0.9569      -0.9915       0.0346   133.8
0.8310          -0.9535      -0.9940       0.0405   156.7
0.8320          -0.9520      -0.9944       0.0424   163.9
0.8330          -0.9530      -0.9924       0.0394   152.3
0.8340          -0.9514      -0.9888       0.0374   144.8
0.8350          -0.9472      -0.9846       0.0374   144.6
0.8360          -0.9498      -0.9811       0.0312   120.8
0.8370          -0.9510      -0.9791       0.0282   108.9
0.8380          -0.9472      -0.9800       0.0329   127.2
0.8390          -0.9465      -0.9840       0.0375   145.0
0.8400          -0.9456      -0.9889       0.0433   167.6
0.8410          -0.9472      -0.9927       0.0455   176.1
0.8420          -0.9466      -0.9944       0.0478   185.0
0.8430          -0.9398      -0.9940       0.0542   209.5
0.8440          -0.9372      -0.9917       0.0545   210.8
0.8450          -0.9389      -0.9882       0.0493   190.5
0.8460          -0.9381      -0.9847       0.0466   180.2
0.8470          -0.9425      -0.9825       0.0399   154.4
0.8480          -0.9462      -0.9813       0.0351   135.6
0.8490          -0.9476      -0.9816       0.0340   131.6
0.8500          -0.9468      -0.9833       0.0366   141.4
0.8510          -0.9519      -0.9858       0.0339   131.2
0.8520          -0.9493      -0.9885       0.0392   151.7
0.8530          -0.9461      -0.9913       0.0453   175.1
0.8540          -0.9466      -0.9936       0.0470   181.7
0.8550          -0.9480      -0.9945       0.0465   179.8
0.8560          -0.9461      -0.9937       0.0477   184.4
0.8570          -0.9529      -0.9915       0.0386   149.2
0.8580          -0.9576      -0.9890       0.0314   121.3
0.8590          -0.9592      -0.9870       0.0278   107.5
0.8600          -0.9588      -0.9855       0.0267   103.3
0.8610          -0.9569      -0.9854       0.0285   110.1
0.8620          -0.9593      -0.9869       0.0276   106.7
0.8630          -0.9605      -0.9892       0.0287   110.9
